time,entries,exits,ids,centroids
2023-07-23 15:16:55.532506,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[(81, 242), (236, 39), (432, 191), (388, 28), (438, 50), (84, 101), (358, 18), (215, 87), (262, 15), (305, 9), (196, 83), (243, 124), (476, 71), (428, 256), (348, 4), (274, 6), (323, 2), (177, 271)]"
2023-07-23 15:16:55.876777,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[(79, 242), (236, 39), (432, 191), (389, 28), (437, 49), (82, 101), (358, 18), (216, 86), (262, 15), (304, 9), (197, 82), (241, 123), (476, 71), (428, 256), (348, 3), (273, 6), (323, 1), (178, 269)]"
2023-07-23 15:16:56.196384,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[(76, 243), (237, 38), (432, 192), (388, 27), (437, 49), (81, 102), (359, 17), (216, 86), (262, 15), (304, 9), (198, 81), (239, 124), (477, 69), (428, 258), (347, 3), (274, 6), (322, 2), (180, 267)]"
2023-07-23 15:16:56.440594,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[(75, 244), (237, 38), (432, 193), (389, 27), (437, 50), (79, 103), (360, 16), (217, 86), (262, 15), (304, 9), (198, 80), (239, 125), (478, 69), (429, 259), (348, 4), (273, 6), (323, 2), (181, 265)]"
2023-07-23 15:16:56.701511,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[(73, 246), (238, 38), (432, 193), (388, 27), (437, 49), (78, 103), (361, 16), (218, 84), (263, 15), (304, 9), (199, 79), (238, 126), (479, 69), (429, 261), (348, 4), (273, 5), (323, 1), (182, 264)]"
2023-07-23 15:16:56.934402,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[(70, 247), (239, 38), (433, 194), (389, 27), (438, 49), (76, 104), (363, 15), (219, 85), (263, 15), (304, 9), (200, 79), (236, 127), (480, 70), (431, 263), (348, 3), (273, 6), (323, 1), (182, 263)]"
2023-07-23 15:16:57.162532,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[(69, 249), (239, 38), (433, 195), (390, 27), (437, 49), (75, 104), (363, 15), (220, 85), (264, 15), (304, 9), (202, 78), (235, 127), (480, 69), (432, 265), (347, 3), (274, 6), (323, 2), (184, 261)]"
2023-07-23 15:16:57.392581,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[(67, 251), (240, 38), (433, 196), (390, 27), (437, 48), (73, 105), (365, 14), (221, 84), (264, 15), (304, 9), (203, 78), (234, 128), (481, 69), (433, 266), (347, 3), (273, 6), (323, 1), (185, 260)]"
2023-07-23 15:16:57.626034,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[(66, 254), (240, 37), (433, 198), (390, 27), (437, 48), (72, 105), (366, 14), (222, 84), (265, 14), (304, 9), (204, 78), (233, 129), (482, 69), (434, 268), (347, 3), (274, 6), (324, 1), (186, 258)]"
2023-07-23 15:16:57.857031,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[(64, 256), (241, 38), (434, 199), (391, 26), (438, 47), (70, 106), (366, 13), (223, 83), (266, 14), (304, 9), (204, 78), (232, 130), (482, 68), (434, 269), (347, 3), (273, 6), (325, 1), (188, 257)]"
2023-07-23 15:16:58.094727,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[(62, 257), (242, 38), (435, 201), (391, 26), (437, 46), (69, 106), (368, 13), (224, 82), (266, 14), (303, 10), (205, 78), (231, 130), (483, 68), (437, 270), (347, 3), (274, 6), (325, 1), (188, 256)]"
2023-07-23 15:16:58.331525,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[(60, 258), (242, 37), (435, 202), (392, 26), (437, 46), (67, 107), (369, 12), (225, 81), (267, 14), (302, 10), (206, 77), (229, 130), (483, 67), (437, 270), (347, 3), (273, 6), (327, 1), (190, 254)]"
2023-07-23 15:16:58.560697,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[(59, 259), (243, 37), (435, 203), (391, 25), (437, 46), (66, 106), (370, 12), (226, 81), (267, 14), (302, 10), (206, 77), (228, 131), (484, 67), (437, 271), (348, 3), (274, 6), (327, 1), (191, 253)]"
2023-07-23 15:16:58.799191,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[(57, 259), (244, 36), (436, 204), (392, 25), (437, 46), (65, 108), (371, 11), (226, 81), (267, 13), (302, 10), (207, 76), (227, 131), (484, 66), (436, 271), (348, 3), (274, 6), (328, 1), (191, 251)]"
2023-07-23 15:16:59.039703,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[(55, 262), (245, 36), (436, 205), (391, 24), (437, 46), (63, 109), (372, 11), (227, 81), (268, 14), (301, 10), (208, 76), (226, 132), (485, 66), (438, 270), (348, 3), (275, 6), (328, 1), (193, 251)]"
2023-07-23 15:16:59.287343,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[(53, 262), (245, 36), (436, 205), (392, 24), (437, 46), (61, 109), (373, 10), (228, 80), (268, 14), (300, 10), (209, 75), (225, 133), (486, 66), (436, 271), (348, 3), (274, 6), (328, 1), (194, 249)]"
2023-07-23 15:16:59.527782,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[(51, 265), (246, 36), (436, 206), (392, 24), (437, 46), (60, 111), (374, 9), (228, 80), (268, 13), (300, 10), (210, 75), (224, 134), (486, 65), (436, 271), (349, 2), (275, 6), (328, 1), (195, 248)]"
2023-07-23 15:16:59.761506,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[(49, 267), (246, 36), (436, 208), (393, 24), (437, 46), (59, 112), (375, 9), (229, 80), (269, 13), (300, 11), (210, 75), (223, 134), (487, 65), (437, 270), (348, 2), (274, 6), (328, 1), (197, 246)]"
2023-07-23 15:17:00.006490,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[(47, 269), (247, 36), (436, 209), (392, 24), (436, 46), (57, 112), (376, 9), (229, 79), (269, 13), (300, 11), (212, 74), (223, 136), (487, 65), (436, 270), (349, 2), (275, 6), (328, 1), (197, 245)]"
2023-07-23 15:17:00.246934,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[(45, 272), (247, 35), (437, 210), (393, 24), (436, 45), (56, 112), (376, 8), (230, 79), (269, 13), (299, 12), (212, 74), (222, 136), (488, 65), (438, 270), (349, 2), (275, 6), (328, 1), (199, 244)]"
2023-07-23 15:17:00.805922,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[(40, 257), (246, 36), (436, 212), (392, 23), (435, 45), (55, 114), (375, 12), (231, 77), (271, 14), (299, 10), (210, 76), (220, 146), (488, 65), (438, 270), (351, 4), (275, 6), (328, 1), (202, 256)]"
2023-07-23 15:17:01.027520,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[(37, 258), (246, 35), (436, 213), (392, 23), (435, 44), (53, 114), (376, 12), (231, 76), (271, 14), (298, 11), (210, 77), (219, 146), (488, 65), (438, 270), (350, 3), (275, 6), (328, 1), (203, 254)]"
2023-07-23 15:17:01.244862,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[(35, 260), (247, 35), (436, 214), (392, 22), (435, 43), (51, 114), (377, 11), (232, 76), (271, 14), (298, 10), (212, 75), (218, 146), (488, 65), (438, 270), (350, 4), (275, 6), (328, 1), (204, 253)]"
2023-07-23 15:17:01.463218,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[(33, 260), (247, 35), (437, 215), (393, 22), (435, 43), (50, 115), (377, 10), (233, 75), (271, 14), (298, 11), (212, 75), (215, 149), (488, 65), (438, 270), (350, 4), (275, 6), (328, 1), (205, 251)]"
2023-07-23 15:17:01.681736,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[(31, 261), (248, 35), (437, 216), (393, 21), (435, 43), (49, 115), (378, 9), (234, 75), (272, 13), (298, 11), (213, 74), (216, 148), (488, 65), (438, 270), (350, 3), (275, 6), (328, 1), (207, 250)]"
2023-07-23 15:17:01.907707,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[(28, 262), (248, 35), (437, 217), (393, 21), (435, 43), (47, 116), (379, 9), (234, 74), (272, 13), (298, 11), (214, 74), (215, 149), (488, 65), (438, 270), (350, 4), (275, 6), (328, 1), (208, 248)]"
2023-07-23 15:17:02.128706,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[(26, 263), (249, 35), (438, 217), (393, 21), (435, 43), (45, 118), (380, 7), (235, 74), (272, 13), (297, 11), (215, 73), (213, 148), (488, 65), (438, 270), (351, 4), (275, 6), (328, 1), (209, 247)]"
2023-07-23 15:17:02.340590,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 18]","[(24, 265), (249, 34), (438, 219), (394, 21), (435, 42), (44, 118), (381, 7), (236, 74), (272, 13), (297, 11), (215, 72), (212, 149), (351, 3), (210, 245)]"
2023-07-23 15:17:02.555958,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 18, 19]","[(22, 268), (250, 34), (439, 220), (393, 21), (435, 42), (42, 118), (382, 6), (237, 74), (272, 13), (297, 11), (216, 70), (210, 150), (351, 4), (211, 244), (108, 75)]"
2023-07-23 15:17:02.773472,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 18, 19]","[(21, 271), (251, 33), (439, 221), (394, 21), (435, 42), (40, 119), (383, 6), (238, 74), (272, 13), (296, 12), (217, 71), (209, 151), (351, 3), (212, 243), (109, 75)]"
2023-07-23 15:17:02.990302,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 18, 19]","[(18, 273), (251, 33), (439, 223), (394, 20), (435, 42), (38, 119), (384, 5), (239, 72), (273, 13), (295, 12), (218, 71), (208, 152), (351, 3), (214, 242), (110, 74)]"
2023-07-23 15:17:03.207493,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 18, 19]","[(16, 275), (252, 34), (439, 225), (394, 20), (436, 42), (36, 120), (385, 5), (240, 72), (272, 13), (295, 13), (220, 71), (207, 153), (352, 3), (215, 241), (111, 73)]"
2023-07-23 15:17:03.423419,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 18, 19]","[(15, 278), (252, 33), (439, 226), (394, 20), (435, 41), (35, 120), (386, 4), (241, 71), (273, 13), (295, 13), (220, 71), (206, 154), (352, 3), (215, 240), (112, 72)]"
2023-07-23 15:17:03.640338,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 18, 19]","[(13, 280), (253, 33), (440, 228), (395, 20), (436, 40), (33, 121), (387, 4), (241, 71), (273, 13), (294, 14), (220, 71), (205, 155), (352, 3), (217, 239), (113, 71)]"
2023-07-23 15:17:03.857710,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 18, 19]","[(11, 281), (253, 33), (441, 230), (396, 19), (436, 40), (32, 121), (388, 3), (242, 70), (273, 13), (293, 14), (222, 71), (204, 156), (352, 3), (218, 237), (115, 71)]"
2023-07-23 15:17:04.078859,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 18, 19]","[(9, 282), (254, 33), (443, 231), (395, 19), (436, 40), (30, 122), (389, 3), (243, 70), (274, 12), (293, 14), (223, 70), (202, 157), (351, 3), (218, 236), (115, 70)]"
2023-07-23 15:17:04.300912,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 18, 19]","[(6, 284), (255, 33), (442, 232), (396, 19), (436, 39), (29, 123), (389, 3), (243, 70), (274, 12), (292, 14), (223, 70), (201, 157), (352, 3), (219, 234), (116, 70)]"
2023-07-23 15:17:04.519703,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 18, 19]","[(4, 284), (256, 33), (444, 233), (396, 19), (436, 39), (27, 124), (390, 2), (244, 70), (275, 12), (291, 14), (224, 69), (200, 158), (352, 3), (219, 233), (117, 70)]"
2023-07-23 15:17:04.740314,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 18, 19]","[(2, 286), (257, 33), (443, 234), (396, 18), (436, 38), (26, 125), (391, 2), (245, 70), (275, 12), (292, 13), (224, 69), (199, 159), (352, 3), (221, 231), (118, 70)]"
